Efternamn, Förnamn, sida, sida
Agstinesen, Bertemegs ,108,
Andersdatter, Anne ,44,
Andersen, Jacob ,148,
Anderson, Anders ,328,
Arendtson Holdthusen, Hindric ,129,
Asmusdochter, Dorotea ,97,
Badstu, Jacob ,297,
Badstu, Karen ,297,
Bager ,(?) ,338,
Bagge ,,140,
Bang, Jöns ,214,
Bang, Otto ,214,
Bark, Boel Jacobsdatter ,294,
Bark, Johan Lauritson ,294,
Barki, Lauris ,322,
Becker, Petterson ,142,
Becher, Hans ,184,
Belinck ,,140,
Bendtsdotter, Sisele ,158,
Benik, Martin ,109,
Berendtson, Hans ,334,
Berg ,,211,
Betzel, Anders ,79,
Bidefe—, Marcus ,351,
Bilde, Elisabeth ,9,
Bilefeld, David Johannes ,151,
Both, Oluf ,153,
Broch, Matthias ,288,
Brocman, Jacob ,281,
Broleger, Jens ,100,
Brun, M. ,61,312
Brygger, Johan ,88,
Brugger, Christopher ,44,
Bulmering, Anton ,231,
Bulmering, Elisabeth ,231,
Buntmager, Oluf ,149,
Burman, Hinrik ,224,
Calander, Olof ,322,
Christianson, Christian ,77,
Claesson, Oluf ,20,
Clason, Clas ,37,
Clason, Hans ,37,
Clausen, Rasmus ,95,
Corvinus, Daniel ,280,
Davidson, Per ,119,
Dedekind, Johan ,130,
Detthen, Hinrich, 88,356
Dirichson, Adam ,312,
Duisinck, Hans ,65,
Egger, Clas ,23,
I Enequist, Olof ,277,
Enre (?), Niels ,348,
Eskildson, Oluf ,337,
Evertdoter, Karen ,317,
Evertdoter, Maren ,317,
Facht, Johan ,93,
Fager, Jurgen ,323,
Falck, Hindrich Hindrichson ,97,
Fedder, Abraham ,275,
Fedder, Karsten ,74,
Fe(d)erow(?), Marhite ,262,
Felderman, Arendt ,32,
Felderman, Rasmus ,219,
Fe(s)erow, (?) ,262,
Fleming, Anne ,323,
Fleming, Hans ,323,
Fåhræus, Olof ,99,
Gelling Hauson, Frederick ,134,
Gerle, Johan Michael ,314,
Giedda, Lars ,381,
Glasmager, Peder ,203,
Glychfelt, Martin ,329,
Grasten Jorgenson, Jorgen  ,333,
Grasten, Olluf ,333,
Gribnits, Hans ,258,
Grönskov, Kiurstine ,92,
Gying, Nils Jensen ,55,
Haagd (?), Hans ,248,
Hansdaatter, Karen ,334,
Hansdatter ,,90,
Hansdaatter, Anne ,114,
Hansdatter, Dorrte ,318,
Hansdoter, Katarina ,77,
Hansdotter, Margrete ,20,
Hansen, Claus ,139,
Hansen, Niels ,146,
Hanson Ausbarch, Jörgen ,39,
Hanson Flor, Jacob ,261,
Hansson Lyning, Thomas ,345,
Hansten, Samuel ,35,
Hardenberg, Mette ,4 ,11
Harmandson, Bartolomeus ,104,
Harmensen, Henrick, 253 ,
Harnisk, Axel ,5,
Heiden fan der, Butvid ,204,
Heidenberg, ,274,
Heisch, Peter ,202,
Helling, Hans I. ,124,
Helling, Jacob H. ,31,
Helms, Adam ,72,
Hemmert van, Dirich ,97,
Hemmungs, Jacob ,153,
Hendericks-datter, Anne ,112,
Hendrichsen, ,176,
Henff, Chatrina ,381,
Henff, Micael ,381,
Herlicius Eliasson, David  ,120,
Hermansdotter, Kiersten ,303,
Hermanson, Jurgen ,92,
Hindrichson Falck, Hindrich ,97,
Hintze, Pavel ,53,71
Holdthusen, Hindric Arendtson,129,
Holm, Maria Danielsdotter ,42,
Holst, Anne ,317,
Holst, Johan ,317,
Holst, Chris(tian) ,81,
Holst(ius), Nicolaus ,21,
Hoppener, Johan ,71,
Husmansk, Else ,179,
Hvisin—, Dirich ,66,
Hvitfeld, Christoffer ,13,
Höeg, Henrich ,10,
Höeg, Jens ,10,
Högsten, Tomas ,318,
Hoijer, Caspar ,224,
Hoyer, Anne ,180,
Hoyer, Hans ,180,
